device,useragent
android,"Mozilla/5.0 (Linux; Android 5.0.2; LG-D701 Build/LRX22G) AppleWebKit/534.1 (KHTML, like Gecko) Chrome/50.0.3430.383 Mobile Safari/536.2"
explorer,Mozilla/5.0 (compatible; MSIE 8.0; Windows; Windows NT 6.2; WOW64 Trident/4.0)
chrome,"Mozilla/5.0 (U; Linux i663 ; en-US) AppleWebKit/600.46 (KHTML, like Gecko) Chrome/50.0.2226.300 Safari/533"
edge,"Mozilla/5.0 (Windows NT 10.3; WOW64) AppleWebKit/537.8 (KHTML, like Gecko) Chrome/55.0.2942.171 Safari/600.4 Edge/9.81991"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_3_7; like Mac OS X) AppleWebKit/600.6 (KHTML, like Gecko) Chrome/50.0.1968.267 Mobile Safari/537.3"
android,"Mozilla/5.0 (Android; Android 5.0.1; LG-D728 Build/LRX22G) AppleWebKit/602.17 (KHTML, like Gecko) Chrome/52.0.2265.209 Mobile Safari/534.8"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_5_4; like Mac OS X) AppleWebKit/603.30 (KHTML, like Gecko) Chrome/49.0.3066.392 Mobile Safari/601.5"
mobile,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_9_1; like Mac OS X) AppleWebKit/534.31 (KHTML, like Gecko) Chrome/50.0.3639.293 Mobile Safari/535.0"
firefox,Mozilla/5.0 (Linux; U; Linux x86_64; en-US) Gecko/20130401 Firefox/47.0
mac,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_3) Gecko/20100101 Firefox/66.0
edge,"Mozilla/5.0 (Windows; U; Windows NT 10.3; x64) AppleWebKit/603.44 (KHTML, like Gecko) Chrome/48.0.2421.221 Safari/535.6 Edge/11.77409"
mac,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_8_6; en-US) Gecko/20100101 Firefox/64.7
mobile,"Mozilla/5.0 (Android; Android 5.0.2; LG-D714 Build/LRX22G) AppleWebKit/536.16 (KHTML, like Gecko) Chrome/53.0.1578.346 Mobile Safari/601.0"
linux,Mozilla/5.0 (Linux; U; Linux i566 ; en-US) Gecko/20130401 Firefox/47.9
edge,"Mozilla/5.0 (Windows NT 10.1; x64) AppleWebKit/537.33 (KHTML, like Gecko) Chrome/50.0.3158.390 Safari/533.0 Edge/18.59303"
chrome,"Mozilla/5.0 (Linux; Linux x86_64) AppleWebKit/535.8 (KHTML, like Gecko) Chrome/51.0.3281.196 Safari/601"
explorer,Mozilla/5.0 (compatible; MSIE 8.0; Windows; Windows NT 6.1; Trident/4.0)
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_0_3; like Mac OS X) AppleWebKit/603.25 (KHTML, like Gecko) Chrome/55.0.2542.138 Mobile Safari/535.6"
windows,"Mozilla/5.0 (Windows NT 6.0;; en-US) AppleWebKit/533.32 (KHTML, like Gecko) Chrome/50.0.1471.274 Safari/603"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_2_7; like Mac OS X) AppleWebKit/536.40 (KHTML, like Gecko) Chrome/53.0.2935.266 Mobile Safari/601.1"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_8_7; like Mac OS X) AppleWebKit/533.42 (KHTML, like Gecko) Chrome/49.0.3489.267 Mobile Safari/536.6"
mac,Mozilla/5.0 (Macintosh; Intel Mac OS X 7_4_9; en-US) Gecko/20130401 Firefox/49.6
edge,"Mozilla/5.0 (Windows; U; Windows NT 10.4; WOW64) AppleWebKit/602.13 (KHTML, like Gecko) Chrome/53.0.1363.270 Safari/603.7 Edge/11.81042"
windows,Mozilla/5.0 (Windows; U; Windows NT 10.2; x64; en-US) Gecko/20130401 Firefox/72.1
windows,"Mozilla/5.0 (Windows NT 6.0; WOW64) AppleWebKit/536.40 (KHTML, like Gecko) Chrome/52.0.3066.354 Safari/537.9 Edge/8.18036"
linux,Mozilla/5.0 (Linux; Linux i552 ) Gecko/20100101 Firefox/62.9
mobile,"Mozilla/5.0 (iPad; CPU iPad OS 10_9_5 like Mac OS X) AppleWebKit/537.2 (KHTML, like Gecko) Chrome/53.0.3853.159 Mobile Safari/600.9"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_0_8; like Mac OS X) AppleWebKit/601.42 (KHTML, like Gecko) Chrome/54.0.3840.315 Mobile Safari/602.5"
explorer,Mozilla/5.0 (compatible; MSIE 8.0; Windows; Windows NT 6.1; x64; en-US Trident/4.0)
linux,"Mozilla/5.0 (U; Linux i560 ; en-US) AppleWebKit/600.28 (KHTML, like Gecko) Chrome/50.0.1590.188 Safari/533"
mac,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_5) Gecko/20100101 Firefox/74.5
edge,"Mozilla/5.0 (Windows; U; Windows NT 10.5;) AppleWebKit/600.13 (KHTML, like Gecko) Chrome/50.0.3456.321 Safari/536.9 Edge/10.58515"
android,"Mozilla/5.0 (Android; Android 6.0.1; Nexus 7X Build/MDB08L) AppleWebKit/535.5 (KHTML, like Gecko) Chrome/50.0.1473.102 Mobile Safari/537.0"
firefox,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_2) Gecko/20100101 Firefox/61.4
mac,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_10_7; en-US) Gecko/20100101 Firefox/60.6
mobile,"Mozilla/5.0 (Android; Android 7.0; SAMSUNG GT-I9300 Build/KTU84P) AppleWebKit/602.32 (KHTML, like Gecko) Chrome/49.0.1073.147 Mobile Safari/535.7"
firefox,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_2_1; en-US) Gecko/20100101 Firefox/60.2
edge,"Mozilla/5.0 (Windows; Windows NT 10.3; Win64; x64; en-US) AppleWebKit/537.8 (KHTML, like Gecko) Chrome/53.0.1044.323 Safari/601.4 Edge/9.78919"
mobile,"Mozilla/5.0 (Linux; U; Android 7.1.1; Nexus 9 Build/NPD90G) AppleWebKit/537.40 (KHTML, like Gecko) Chrome/55.0.3372.144 Mobile Safari/602.8"
explorer,Mozilla/5.0 (compatible; MSIE 9.0; Windows; U; Windows NT 6.3; WOW64 Trident/5.0)
windows,"Mozilla/5.0 (Windows; U; Windows NT 6.2; Win64; x64; en-US) AppleWebKit/535.50 (KHTML, like Gecko) Chrome/54.0.2279.392 Safari/537.1 Edge/17.82601"
mac,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_0) Gecko/20130401 Firefox/71.8
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_3_8; like Mac OS X) AppleWebKit/536.15 (KHTML, like Gecko) Chrome/49.0.1914.146 Mobile Safari/603.6"
edge,"Mozilla/5.0 (Windows; Windows NT 10.4; WOW64) AppleWebKit/601.49 (KHTML, like Gecko) Chrome/48.0.3467.175 Safari/533.1 Edge/17.41609"
linux,Mozilla/5.0 (Linux i676 x86_64; en-US) Gecko/20100101 Firefox/61.3
linux,"Mozilla/5.0 (U; Linux i656 x86_64; en-US) AppleWebKit/602.7 (KHTML, like Gecko) Chrome/48.0.2819.342 Safari/600"
firefox,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_8; en-US) Gecko/20100101 Firefox/60.6
mobile,"Mozilla/5.0 (iPad; CPU iPad OS 7_2_4 like Mac OS X) AppleWebKit/534.47 (KHTML, like Gecko) Chrome/55.0.2822.223 Mobile Safari/603.4"
chrome,"Mozilla/5.0 (Linux; Linux x86_64; en-US) AppleWebKit/602.5 (KHTML, like Gecko) Chrome/47.0.3344.378 Safari/536"
chrome,"Mozilla/5.0 (Linux; U; Linux x86_64; en-US) AppleWebKit/600.35 (KHTML, like Gecko) Chrome/53.0.1034.155 Safari/603"
linux,"Mozilla/5.0 (Linux i561 ; en-US) AppleWebKit/536.4 (KHTML, like Gecko) Chrome/48.0.1763.320 Safari/602"
edge,"Mozilla/5.0 (Windows; Windows NT 10.0; x64; en-US) AppleWebKit/535.35 (KHTML, like Gecko) Chrome/53.0.3152.375 Safari/533.0 Edge/16.81636"
linux,"Mozilla/5.0 (Linux i564 x86_64) AppleWebKit/533.4 (KHTML, like Gecko) Chrome/49.0.2744.247 Safari/534"
firefox,Mozilla/5.0 (Linux x86_64; en-US) Gecko/20130401 Firefox/53.4
windows,"Mozilla/5.0 (Windows; U; Windows NT 10.1;) AppleWebKit/602.4 (KHTML, like Gecko) Chrome/52.0.3910.113 Safari/535.4 Edge/18.23893"
firefox,Mozilla/5.0 (U; Linux x86_64) Gecko/20100101 Firefox/70.8
edge,"Mozilla/5.0 (Windows NT 10.2; WOW64) AppleWebKit/600.40 (KHTML, like Gecko) Chrome/49.0.1067.352 Safari/602.5 Edge/18.76047"
mobile,"Mozilla/5.0 (Linux; Android 6.0.1; SAMSUNG SM-G9350L Build/MDB08I) AppleWebKit/601.13 (KHTML, like Gecko) Chrome/49.0.2447.232 Mobile Safari/534.4"
edge,"Mozilla/5.0 (Windows; U; Windows NT 10.5; Win64; x64; en-US) AppleWebKit/535.5 (KHTML, like Gecko) Chrome/54.0.3635.318 Safari/600.3 Edge/16.74007"
edge,"Mozilla/5.0 (Windows; U; Windows NT 10.3; Win64; x64; en-US) AppleWebKit/534.15 (KHTML, like Gecko) Chrome/55.0.2358.188 Safari/533.7 Edge/10.40583"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_6_6; like Mac OS X) AppleWebKit/603.11 (KHTML, like Gecko) Chrome/48.0.1861.399 Mobile Safari/535.8"
mac,Mozilla/5.0 (Macintosh; Intel Mac OS X 7_0_7; en-US) Gecko/20130401 Firefox/70.7
chrome,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 9_5_4) AppleWebKit/534.49 (KHTML, like Gecko) Chrome/52.0.3956.145 Safari/602"
android,"Mozilla/5.0 (Linux; Android 5.0; SAMSUNG-SM-N910V Build/LRX22C) AppleWebKit/536.2 (KHTML, like Gecko) Chrome/54.0.2703.129 Mobile Safari/601.0"
windows,"Mozilla/5.0 (Windows NT 10.2;) AppleWebKit/537.6 (KHTML, like Gecko) Chrome/49.0.3614.149 Safari/601.5 Edge/11.28884"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_4_5; like Mac OS X) AppleWebKit/535.49 (KHTML, like Gecko) Chrome/51.0.1701.377 Mobile Safari/534.5"
firefox,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 9_0_2) Gecko/20130401 Firefox/55.3
linux,"Mozilla/5.0 (U; Linux x86_64; en-US) AppleWebKit/537.49 (KHTML, like Gecko) Chrome/54.0.3107.275 Safari/533"
firefox,Mozilla/5.0 (Windows; Windows NT 10.4; WOW64; en-US) Gecko/20100101 Firefox/71.4
firefox,Mozilla/5.0 (U; Linux x86_64) Gecko/20130401 Firefox/56.6
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_2_5; like Mac OS X) AppleWebKit/533.25 (KHTML, like Gecko) Chrome/52.0.2157.158 Mobile Safari/537.1"
windows,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/601.40 (KHTML, like Gecko) Chrome/54.0.3205.209 Safari/535"
explorer,Mozilla/5.0 (compatible; MSIE 10.0; Windows; Windows NT 6.0; WOW64 Trident/6.0)
android,"Mozilla/5.0 (Linux; U; Android 5.1.1; SM-G9358 Build/MMB29M) AppleWebKit/535.18 (KHTML, like Gecko) Chrome/49.0.2311.349 Mobile Safari/600.3"
firefox,Mozilla/5.0 (Linux; U; Linux x86_64) Gecko/20100101 Firefox/47.0
linux,"Mozilla/5.0 (Linux; U; Linux i651 ; en-US) AppleWebKit/600.43 (KHTML, like Gecko) Chrome/55.0.3712.350 Safari/535"
mobile,"Mozilla/5.0 (iPad; CPU iPad OS 10_7_1 like Mac OS X) AppleWebKit/535.5 (KHTML, like Gecko) Chrome/52.0.2965.314 Mobile Safari/535.8"
android,"Mozilla/5.0 (Linux; U; Android 6.0.1; Nexus 5P Build/MDB08I) AppleWebKit/533.33 (KHTML, like Gecko) Chrome/53.0.3793.122 Mobile Safari/602.2"
chrome,"Mozilla/5.0 (Macintosh; Intel Mac OS X 8_1_2; en-US) AppleWebKit/534.33 (KHTML, like Gecko) Chrome/49.0.1254.164 Safari/602"
android,"Mozilla/5.0 (Android; Android 4.3.1; HTC One max Build/JSS15J) AppleWebKit/533.3 (KHTML, like Gecko) Chrome/47.0.2879.163 Mobile Safari/603.0"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_9_0; like Mac OS X) AppleWebKit/534.49 (KHTML, like Gecko) Chrome/53.0.2234.258 Mobile Safari/601.8"
linux,Mozilla/5.0 (Linux x86_64) Gecko/20100101 Firefox/59.6
firefox,Mozilla/5.0 (Linux i681 x86_64; en-US) Gecko/20100101 Firefox/57.3
linux,"Mozilla/5.0 (U; Linux x86_64) AppleWebKit/601.49 (KHTML, like Gecko) Chrome/51.0.3403.331 Safari/601"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_1_1; like Mac OS X) AppleWebKit/535.45 (KHTML, like Gecko) Chrome/52.0.1306.163 Mobile Safari/603.6"
mobile,"Mozilla/5.0 (iPad; CPU iPad OS 7_9_9 like Mac OS X) AppleWebKit/601.43 (KHTML, like Gecko) Chrome/52.0.3303.173 Mobile Safari/536.9"
chrome,"Mozilla/5.0 (Windows; Windows NT 6.3; Win64; x64) AppleWebKit/602.12 (KHTML, like Gecko) Chrome/50.0.3887.377 Safari/533"
windows,"Mozilla/5.0 (Windows; Windows NT 6.3; x64; en-US) AppleWebKit/537.33 (KHTML, like Gecko) Chrome/49.0.3328.259 Safari/600"
linux,"Mozilla/5.0 (Linux; U; Linux i576 x86_64) AppleWebKit/600.31 (KHTML, like Gecko) Chrome/49.0.2782.166 Safari/600"
chrome,"Mozilla/5.0 (Linux; U; Linux x86_64; en-US) AppleWebKit/602.3 (KHTML, like Gecko) Chrome/55.0.3411.265 Safari/600"
android,"Mozilla/5.0 (Android; Android 7.0; Nexus 9P Build/NME91E) AppleWebKit/534.31 (KHTML, like Gecko) Chrome/51.0.3722.377 Mobile Safari/535.7"
mac,"Mozilla/5.0 (Macintosh; Intel Mac OS X 8_8_8) AppleWebKit/535.4 (KHTML, like Gecko) Chrome/52.0.3705.326 Safari/537"
linux,Mozilla/5.0 (Linux; U; Linux i683 x86_64; en-US) Gecko/20100101 Firefox/73.6
linux,"Mozilla/5.0 (U; Linux i652 x86_64) AppleWebKit/601.28 (KHTML, like Gecko) Chrome/54.0.3113.363 Safari/534"
windows,"Mozilla/5.0 (Windows; Windows NT 10.1; x64) AppleWebKit/601.39 (KHTML, like Gecko) Chrome/47.0.2094.317 Safari/534.9 Edge/15.80379"
firefox,Mozilla/5.0 (Macintosh; Intel Mac OS X 7_0_1) Gecko/20100101 Firefox/65.0
mobile,"Mozilla/5.0 (Linux; Android 6.0.1; SAMSUNG SM-G928L Build/MMB29K) AppleWebKit/534.32 (KHTML, like Gecko) Chrome/52.0.3702.163 Mobile Safari/600.9"
explorer,Mozilla/5.0 (compatible; MSIE 11.0; Windows; U; Windows NT 6.1; Win64; x64 Trident/7.0)
linux,"Mozilla/5.0 (U; Linux i551 ; en-US) AppleWebKit/603.30 (KHTML, like Gecko) Chrome/48.0.1736.216 Safari/603"
mac,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_10_6; en-US) Gecko/20100101 Firefox/71.0
linux,"Mozilla/5.0 (Linux; Linux x86_64) AppleWebKit/603.19 (KHTML, like Gecko) Chrome/53.0.1841.129 Safari/533"
linux,"Mozilla/5.0 (U; Linux x86_64) AppleWebKit/535.37 (KHTML, like Gecko) Chrome/49.0.1052.133 Safari/601"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_4_6; like Mac OS X) AppleWebKit/536.38 (KHTML, like Gecko) Chrome/54.0.1195.364 Mobile Safari/600.0"
mac,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 9_4_3; en-US) AppleWebKit/601.2 (KHTML, like Gecko) Chrome/48.0.3879.308 Safari/535"
explorer,Mozilla/5.0 (compatible; MSIE 10.0; Windows; Windows NT 6.0; Win64; x64; en-US Trident/6.0)
explorer,Mozilla/5.0 (compatible; MSIE 11.0; Windows; U; Windows NT 6.0; WOW64 Trident/7.0)
firefox,Mozilla/5.0 (Windows; Windows NT 10.5; Win64; x64; en-US) Gecko/20100101 Firefox/53.6
windows,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.1; WOW64; en-US Trident/4.0)
explorer,Mozilla/5.0 (compatible; MSIE 8.0; Windows; U; Windows NT 6.3; Trident/4.0)
mobile,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_5_6; like Mac OS X) AppleWebKit/535.21 (KHTML, like Gecko) Chrome/53.0.1603.373 Mobile Safari/603.3"
android,"Mozilla/5.0 (Linux; U; Android 4.4.4; MOTOROLA MSM8960 Build/KVT49L) AppleWebKit/602.50 (KHTML, like Gecko) Chrome/49.0.3754.268 Mobile Safari/600.0"
chrome,"Mozilla/5.0 (Windows NT 6.0; Win64; x64) AppleWebKit/603.26 (KHTML, like Gecko) Chrome/47.0.3842.333 Safari/602"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_1_1; like Mac OS X) AppleWebKit/600.19 (KHTML, like Gecko) Chrome/52.0.1733.223 Mobile Safari/534.3"
mobile,"Mozilla/5.0 (iPod; CPU iPod OS 8_6_7; like Mac OS X) AppleWebKit/533.3 (KHTML, like Gecko) Chrome/47.0.1941.363 Mobile Safari/534.3"
mobile,"Mozilla/5.0 (iPad; CPU iPad OS 9_4_6 like Mac OS X) AppleWebKit/602.3 (KHTML, like Gecko) Chrome/53.0.3517.214 Mobile Safari/603.8"
firefox,Mozilla/5.0 (Windows; U; Windows NT 6.2; Win64; x64; en-US) Gecko/20100101 Firefox/49.2
chrome,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_11_4; en-US) AppleWebKit/600.39 (KHTML, like Gecko) Chrome/55.0.2627.261 Safari/534"
edge,"Mozilla/5.0 (Windows; U; Windows NT 10.5;; en-US) AppleWebKit/603.46 (KHTML, like Gecko) Chrome/47.0.3318.222 Safari/600.4 Edge/14.32710"
android,"Mozilla/5.0 (Linux; Android 4.4; SAMSUNG SM-E500F Build/KTU84P) AppleWebKit/534.10 (KHTML, like Gecko) Chrome/55.0.3044.104 Mobile Safari/536.0"
linux,"Mozilla/5.0 (U; Linux i563 ; en-US) AppleWebKit/601.8 (KHTML, like Gecko) Chrome/49.0.1177.342 Safari/602"
mobile,"Mozilla/5.0 (iPod; CPU iPod OS 8_3_2; like Mac OS X) AppleWebKit/534.20 (KHTML, like Gecko) Chrome/53.0.1645.197 Mobile Safari/602.4"
android,"Mozilla/5.0 (Linux; U; Android 5.1.1; Nexus 9 Build/LRX22C) AppleWebKit/537.5 (KHTML, like Gecko) Chrome/49.0.2102.281 Mobile Safari/534.2"
